# Dataset: National Business Survivability Scores by City (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Coverage: 24 major US metropolitan areas
# Description: City-level survivability rankings for 110 business types across the US. Scores predict the projected chance a business type lasts 2+ years.
# Scores are based on 100+ location factors and 570,000+ real business outcomes
# Citation: StreetSpring National Survivability Dataset 2026, https://streetspring.com/resources/data/national-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This ranking carries one row per business type and metro. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (24 metros).; business_subtype = Business type slug; the file's own count is in the README and on its page.; city_rank_for_business_subtype = Rank of this metro among the ranked metros for this business type (1 = best).; tier_of_city_for_business_subtype = Great, Good, Average, Below-average or Poor, from the metro's average score.; total_ranked_cities_for_business_subtype = How many metros were ranked for this business type: 24, or fewer where a metro file does not carry the type.; avg_survivability_score_for_business_subtype_in_city = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this metro. Use it to answer 'which city is best for X'.; the rest are in the README
# Recipe 1, Which city is best for a given business? Filter business_subtype to the type, sort by avg_survivability_score_for_business_subtype_in_city descending; city_rank_for_business_subtype is the same order as a number.
# Recipe 2, How wide is the gap between the best and worst city? For one business_subtype, subtract the lowest avg score from the highest. Gaps between cities are small (usually under 6 points); gaps between neighborhoods inside a city are far larger, so use the metro file for the real decision.
# Recipe 3, Where inside the best city should I look? Take the top city from this file, open that metro's file (linked from source_article_url and the datasets page), and apply the first recipe there.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/national-survivability-scores-2026
city,business_subtype,city_rank_for_business_subtype,tier_of_city_for_business_subtype,total_ranked_cities_for_business_subtype,avg_survivability_score_for_business_subtype_in_city,max_survivability_score_for_business_subtype_in_city,min_survivability_score_for_business_subtype_in_city,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,year,source_url_city_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,data_source
los-angeles,cambodian-restaurant,11,Good,24,78.6,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
boston,cambodian-restaurant,12,Good,24,78.5,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
baltimore,cambodian-restaurant,13,Good,24,78.4,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
orlando,cambodian-restaurant,14,Good,24,78.2,84.0,71.0,84.0,83.6,72.3,70.5,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
san-diego,cambodian-restaurant,16,Good,24,78.1,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
san-francisco,cambodian-restaurant,17,Good,24,78.1,84.0,72.8,84.0,84.0,74.1,72.3,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,27.2,StreetSpring Survivability Dataset 2026
denver,cambodian-restaurant,15,Good,24,78.1,82.2,71.8,82.7,80.8,73.2,71.4,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,17.8,28.2,StreetSpring Survivability Dataset 2026
detroit,cambodian-restaurant,18,Good,24,78.0,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
seattle,cambodian-restaurant,20,Good,24,77.9,84.0,68.7,84.0,84.0,70.0,68.2,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,31.3,StreetSpring Survivability Dataset 2026
new-york-city,cambodian-restaurant,19,Good,24,77.9,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
washington-dc,cambodian-restaurant,21,Good,24,77.8,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
philadelphia,cambodian-restaurant,23,Good,24,77.6,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
minneapolis,cambodian-restaurant,22,Good,24,77.6,84.0,71.4,84.0,83.6,72.8,71.0,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
atlanta,cambodian-restaurant,24,Good,24,77.0,84.0,71.4,84.0,82.7,72.8,71.0,2026,/resources/guides/national/city-survivability/cambodian-restaurant,/resources/guides/national/neighborhood-survivability/cambodian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/cambodian-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
dallas,nail-salon,1,Good,24,77.6,82.7,71.0,83.1,81.3,72.3,70.5,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.3,29.0,StreetSpring Survivability Dataset 2026
miami,nail-salon,2,Good,24,77.2,84.0,66.9,84.0,82.7,68.2,66.5,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.0,33.1,StreetSpring Survivability Dataset 2026
portland,nail-salon,3,Good,24,77.2,83.1,68.2,83.6,81.8,69.6,67.8,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.9,31.8,StreetSpring Survivability Dataset 2026
tampa-bay,nail-salon,5,Good,24,77.0,83.1,64.7,83.6,81.8,66.0,64.2,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.9,35.3,StreetSpring Survivability Dataset 2026
phoenix,nail-salon,4,Good,24,77.0,81.8,66.5,82.2,80.4,67.8,66.0,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,18.2,33.5,StreetSpring Survivability Dataset 2026
washington-dc,nail-salon,7,Good,24,76.8,82.2,70.0,82.7,80.8,71.4,69.6,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.8,30.0,StreetSpring Survivability Dataset 2026
orlando,nail-salon,6,Good,24,76.8,83.1,65.5,83.6,81.8,66.9,65.1,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.9,34.5,StreetSpring Survivability Dataset 2026
los-angeles,nail-salon,8,Good,24,76.6,82.2,65.5,82.7,80.8,66.9,65.1,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.8,34.5,StreetSpring Survivability Dataset 2026
new-york-city,nail-salon,9,Good,24,76.6,84.0,66.9,84.0,82.7,68.2,66.5,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.0,33.1,StreetSpring Survivability Dataset 2026
san-francisco,nail-salon,11,Good,24,76.4,81.8,66.9,82.2,80.4,68.2,66.5,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,18.2,33.1,StreetSpring Survivability Dataset 2026
atlanta,nail-salon,10,Good,24,76.4,81.8,64.7,82.2,80.4,66.0,64.2,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,18.2,35.3,StreetSpring Survivability Dataset 2026
san-antonio,nail-salon,12,Good,24,76.2,82.7,65.1,83.1,81.3,66.5,64.7,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.3,34.9,StreetSpring Survivability Dataset 2026
minneapolis,nail-salon,13,Good,24,76.0,82.2,64.7,82.7,80.8,66.0,64.2,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.8,35.3,StreetSpring Survivability Dataset 2026
boston,nail-salon,14,Good,24,75.9,82.7,62.0,83.1,81.3,63.3,61.5,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.3,38.0,StreetSpring Survivability Dataset 2026
seattle,nail-salon,16,Good,24,75.8,82.7,65.5,83.1,81.3,66.9,65.1,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.3,34.5,StreetSpring Survivability Dataset 2026
philadelphia,nail-salon,15,Good,24,75.8,84.0,65.5,84.0,83.1,66.9,65.1,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.0,34.5,StreetSpring Survivability Dataset 2026
charlotte,nail-salon,17,Good,24,75.3,81.3,64.7,81.8,80.0,66.0,64.2,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,18.7,35.3,StreetSpring Survivability Dataset 2026
houston,nail-salon,18,Good,24,75.3,84.0,63.8,84.0,83.1,65.1,63.3,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.0,36.2,StreetSpring Survivability Dataset 2026
san-diego,nail-salon,19,Good,24,74.9,83.1,65.1,83.6,81.8,66.5,64.7,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.9,34.9,StreetSpring Survivability Dataset 2026
baltimore,nail-salon,20,Good,24,74.0,82.2,64.7,82.7,80.8,66.0,64.2,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.8,35.3,StreetSpring Survivability Dataset 2026
chicago,nail-salon,21,Good,24,73.9,83.6,61.5,84.0,82.2,62.9,61.0,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.4,38.5,StreetSpring Survivability Dataset 2026
detroit,nail-salon,22,Good,24,73.7,82.2,63.8,82.7,80.8,65.1,63.3,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,17.8,36.2,StreetSpring Survivability Dataset 2026
denver,nail-salon,23,Good,24,73.3,80.8,65.5,81.3,79.5,66.9,65.1,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,19.2,34.5,StreetSpring Survivability Dataset 2026
st-louis,nail-salon,24,Good,24,73.3,83.6,61.0,84.0,82.2,62.4,60.6,2026,/resources/guides/national/city-survivability/nail-salon,/resources/guides/national/neighborhood-survivability/nail-salon,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/nail-salon,16.4,39.0,StreetSpring Survivability Dataset 2026
new-york-city,barbecue-restaurant,1,Good,24,75.2,81.8,58.4,82.2,80.4,59.7,57.9,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,18.2,41.6,StreetSpring Survivability Dataset 2026
dallas,barbecue-restaurant,3,Good,24,74.7,79.0,71.4,79.5,77.7,72.8,71.0,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,21.0,28.6,StreetSpring Survivability Dataset 2026
chicago,barbecue-restaurant,2,Good,24,74.7,82.2,56.5,82.7,80.8,57.9,56.1,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,17.8,43.5,StreetSpring Survivability Dataset 2026
boston,barbecue-restaurant,4,Good,24,73.4,82.7,55.2,83.1,81.3,56.5,54.8,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,17.3,44.8,StreetSpring Survivability Dataset 2026
san-francisco,barbecue-restaurant,6,Good,24,73.2,80.8,61.0,81.3,79.5,62.4,60.6,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.2,39.0,StreetSpring Survivability Dataset 2026
miami,barbecue-restaurant,5,Good,24,73.2,81.8,56.5,82.2,80.4,57.9,56.1,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,18.2,43.5,StreetSpring Survivability Dataset 2026
los-angeles,barbecue-restaurant,7,Good,24,72.8,81.3,57.0,81.8,80.0,58.4,56.5,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,18.7,43.0,StreetSpring Survivability Dataset 2026
washington-dc,barbecue-restaurant,8,Good,24,72.2,80.8,61.0,81.3,79.5,62.4,60.6,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.2,39.0,StreetSpring Survivability Dataset 2026
tampa-bay,barbecue-restaurant,9,Average,24,71.8,80.8,57.0,81.3,79.5,58.4,56.5,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.2,43.0,StreetSpring Survivability Dataset 2026
san-antonio,barbecue-restaurant,10,Average,24,71.2,83.1,58.8,83.6,81.8,60.1,58.4,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,16.9,41.2,StreetSpring Survivability Dataset 2026
san-diego,barbecue-restaurant,11,Average,24,71.0,80.4,56.5,80.8,79.0,57.9,56.1,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.6,43.5,StreetSpring Survivability Dataset 2026
st-louis,barbecue-restaurant,12,Average,24,71.0,82.2,56.1,82.7,80.8,57.5,55.6,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,17.8,43.9,StreetSpring Survivability Dataset 2026
orlando,barbecue-restaurant,13,Average,24,70.4,80.4,58.8,80.8,79.0,60.1,58.4,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.6,41.2,StreetSpring Survivability Dataset 2026
phoenix,barbecue-restaurant,14,Average,24,70.3,80.0,60.6,80.4,78.6,62.0,60.1,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,20.0,39.4,StreetSpring Survivability Dataset 2026
baltimore,barbecue-restaurant,15,Average,24,70.2,80.0,56.5,80.4,78.6,57.9,56.1,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,20.0,43.5,StreetSpring Survivability Dataset 2026
philadelphia,barbecue-restaurant,16,Average,24,70.0,80.4,58.4,80.8,79.0,59.7,57.9,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.6,41.6,StreetSpring Survivability Dataset 2026
atlanta,barbecue-restaurant,17,Average,24,69.9,81.3,58.8,81.8,80.0,60.1,58.4,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,18.7,41.2,StreetSpring Survivability Dataset 2026
detroit,barbecue-restaurant,18,Average,24,69.9,80.8,57.5,81.3,79.5,58.8,57.0,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.2,42.5,StreetSpring Survivability Dataset 2026
houston,barbecue-restaurant,19,Average,24,69.7,81.8,56.5,82.2,80.4,57.9,56.1,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,18.2,43.5,StreetSpring Survivability Dataset 2026
seattle,barbecue-restaurant,20,Average,24,69.4,80.8,56.1,81.3,79.5,57.5,55.6,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.2,43.9,StreetSpring Survivability Dataset 2026
charlotte,barbecue-restaurant,21,Average,24,69.0,81.3,58.8,81.8,80.0,60.1,58.4,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,18.7,41.2,StreetSpring Survivability Dataset 2026
portland,barbecue-restaurant,22,Average,24,68.5,80.8,58.4,81.3,79.5,59.7,57.9,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,19.2,41.6,StreetSpring Survivability Dataset 2026
minneapolis,barbecue-restaurant,23,Average,24,67.5,80.0,57.0,80.4,78.6,58.4,56.5,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,20.0,43.0,StreetSpring Survivability Dataset 2026
denver,barbecue-restaurant,24,Below-average,24,64.9,78.2,57.0,78.6,76.8,58.4,56.5,2026,/resources/guides/national/city-survivability/barbecue-restaurant,/resources/guides/national/neighborhood-survivability/barbecue-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/barbecue-restaurant,21.8,43.0,StreetSpring Survivability Dataset 2026
chicago,indonesian-restaurant,1,Great,24,82.1,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
st-louis,indonesian-restaurant,2,Great,24,80.5,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
san-antonio,indonesian-restaurant,3,Good,24,79.8,84.0,72.8,84.0,84.0,74.1,72.3,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,16.0,27.2,StreetSpring Survivability Dataset 2026
miami,indonesian-restaurant,4,Good,24,79.6,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
phoenix,indonesian-restaurant,6,Good,24,79.2,84.0,74.1,84.0,84.0,75.5,73.7,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,16.0,25.9,StreetSpring Survivability Dataset 2026
houston,indonesian-restaurant,5,Good,24,79.2,84.0,68.7,84.0,84.0,70.0,68.2,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,16.0,31.3,StreetSpring Survivability Dataset 2026
dallas,indonesian-restaurant,7,Good,24,79.0,82.7,73.2,83.1,81.3,74.5,72.8,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,17.3,26.8,StreetSpring Survivability Dataset 2026
portland,indonesian-restaurant,8,Good,24,78.9,84.0,72.8,84.0,84.0,74.1,72.3,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,16.0,27.2,StreetSpring Survivability Dataset 2026
charlotte,indonesian-restaurant,9,Good,24,78.8,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/indonesian-restaurant,/resources/guides/national/neighborhood-survivability/indonesian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/indonesian-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
